date,time,lat,lon,speed
2016-04-02,14:45:26,31.749171,34.991645,5
2016-04-02,14:45:28,31.749165,34.991662,5
2016-04-02,14:45:30,31.74914,34.99169,5
2016-04-02,14:45:31,31.749127,34.991703,5
2016-04-02,14:45:32,31.749115,34.991718,5
2016-04-02,14:45:33,31.749107,34.991735,5
2016-04-02,14:45:35,31.749096,34.991765,5
2016-04-02,14:45:36,31.749089,34.991785,5
2016-04-02,14:45:37,31.749084,34.991805,5
2016-04-02,14:45:39,31.749077,34.991854,5
2016-04-02,14:45:40,31.749074,34.99188,5
2016-04-02,14:45:41,31.749071,34.991907,5
2016-04-02,14:45:43,31.749068,34.99196,5
2016-04-02,14:45:45,31.749068,34.992008,5
2016-04-02,14:45:47,31.749065,34.992045,5
2016-04-02,14:45:48,31.749066,34.992065,5
2016-04-02,14:45:49,31.749069,34.99209,5
2016-04-02,14:45:51,31.749079,34.992128,5
2016-04-02,14:45:52,31.749083,34.992146,5
2016-04-02,14:45:54,31.749087,34.99218,5
2016-04-02,14:45:55,31.749087,34.992198,5
2016-04-02,14:45:57,31.749088,34.992231,5
2016-04-02,14:45:58,31.749089,34.992248,5
2016-04-02,14:45:59,31.74909,34.992263,5
2016-04-02,14:46:01,31.749092,34.992289,5
2016-04-02,14:46:02,31.749093,34.9923,5
2016-04-02,14:46:04,31.749103,34.992323,5
2016-04-02,14:46:06,31.749114,34.992349,5
2016-04-02,14:46:07,31.749115,34.992361,5
2016-04-02,14:46:09,31.749118,34.992381,5
2016-04-02,14:46:10,31.749121,34.992391,5
2016-04-02,14:46:11,31.749125,34.992404,5
2016-04-02,14:46:13,31.74913,34.992436,5
2016-04-02,14:46:14,31.74913,34.992453,5
2016-04-02,14:46:16,31.74913,34.992489,5
2016-04-02,14:46:17,31.749134,34.992507,5
2016-04-02,14:46:19,31.749149,34.992541,5
2016-04-02,14:46:21,31.749156,34.992574,5
2016-04-02,14:46:22,31.749159,34.99259,5
2016-04-02,14:46:24,31.749169,34.992612,5
2016-04-02,14:46:25,31.749173,34.992624,5
2016-04-02,14:46:26,31.749175,34.992637,5
2016-04-02,14:46:27,31.749175,34.992651,5
2016-04-02,14:46:29,31.749177,34.99268,5
2016-04-02,14:46:31,31.74918,34.992711,5
2016-04-02,14:46:32,31.749181,34.992726,5
2016-04-02,14:46:34,31.74919,34.99276,5
2016-04-02,14:46:36,31.749202,34.992794,5
2016-04-02,14:46:37,31.749206,34.992812,5
2016-04-02,14:46:38,31.749213,34.992826,5
2016-04-02,14:46:40,31.749224,34.992852,5
2016-04-02,14:46:42,31.749235,34.99288,5
2016-04-02,14:46:44,31.749244,34.992911,5
2016-04-02,14:46:46,31.749251,34.992941,5
2016-04-02,14:46:48,31.749257,34.992975,5
2016-04-02,14:46:49,31.74926,34.992994,5
